word,count
چی,19456
رو,19151
دیگه,18891
چرا,18184
اره,16517
بود,15536
کن,15264
خیلی,14895
باشه,14730
منم,13587
دارم,11652
چه,11406
داره,11110
الان,11083
فقط,10437
شد,10187
بیا,10065
میشه,10000
کنم,9875
سلام,9842
ی,9802
بابا,9759
در,9630
شما,9473
باید,9360
پس,9221
نیست,9138
خوبی,9091
میکنم,8859
داری,8837
بچه,8796
بده,8643
خوب,8585
بی,8471
ها,8250
ن,8113
ما,8099
خوبه,7902
کردم,7835
خودت,7766
دختر,7744
کی,7543
برو,7392
والا,7044
بگو,7006
اگه,6951
میگم,6929
بعد,6911
هعی,6842
یکی,6837
شده,6749
ندارم,6699
حالا,6660
دیگ,6625
چیه,6587
گفتم,6543
مگه,6539
برا,6222
میکنی,6204
چ,6067
پی,6053
حرف,6031
نداره,6030
مرسی,5956
منو,5873
بله,5858
آره,5839
باش,5785
واقعا,5760
خدا,5714
کسی,5542
عه,5538
کردی,5498
میاد,5297
نیس,5237
اصلا,5190
جون,5157
میکنه,5151
خودم,5092
کار,5078
میگی,5062
پسر,5042
نکن,4993
نمیدونم,4990
هست,4976
کنی,4907
وای,4893
باشی,4841
دوست,4787
باز,4762
همین,4725
بگم,4722
کنه,4653
برم,4606
چطوری,4589
بهت,4581
سر,4560
نیستم,4553
نمیشه,4550
هیچی,4473
بودم,4431
فکر,4424
چیزی,4396
بد,4327
شدم,4298
فک,4288
داداش,4217
میگه,4206
کاربر,4138
اینجا,4090
عزیزم,4030
چند,4000
خوبم,3993
کجا,3990
داش,3964
وقتی,3890
کرد,3815
چشم,3805
ت,3781
بزن,3749
دخترا,3723
ام,3718
بهش,3711
اینا,3704
زندگی,3698
زیاد,3668
دست,3662
بدم,3650
اول,3645
شاید,3645
درست,3614
کم,3589
های,3542
یعنی,3538
ببین,3485
هیچ,3470
شب,3461
همون,3422
اینو,3386
کرده,3365
گفتی,3357
دو,3321
واسه,3302
خوش,3298
بیشتر,3290
سال,3288
برات,3277
حال,3276
دلم,3236
عکس,3228
چقدر,3227
کلا,3196
بخدا,3196
زن,3183
بهم,3170
پیام,3169
خو,3153
بازی,3146
دوس,3105
جان,3104
همیشه,3103
بریم,3096
شدی,3083
روز,3040
میدونم,3018
نفر,3013
بن,3012
میخوام,2976
پیدا,2975
خودش,2974
عشقم,2972
اخه,2933
مثل,2929
عالی,2921
دقیقا,2914
عجب,2902
گپ,2862
درد,2845
قربونت,2820
بیاد,2811
ریپ,2799
عشق,2767
دیدم,2764
بزار,2756
ممنون,2755
چقد,2740
میگن,2735
داشته,2723
مهم,2722
هستی,2719
خونه,2718
بشه,2716
پسرا,2695
شکر,2692
تر,2669
می,2660
اینکه,2657
جواب,2652
پیش,2619
میدم,2606
بودی,2599
یکم,2591
شوخی,2577
